...и ТАЛИЯ АРТ-КАФЕ;Москва, бул. Страстной, 10;+7 (495) 629-06-15, +7 (495) 629-96-96;1 адресов;http://maps.yandex.ru/?text=...%D0%B8+%D0%A2%D0%90%D0%9B%D0%98%D0%AF+%D0%90%D0%A0%D0%A2-%D0%9A%D0%90%D0%A4%D0%95&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
02 LOUNGE
095 - МОСКОВСКАЯ КОФЕЙНЯ;Москва, ул. Серпуховская Б., 17;+7 (495) 237-10-94, +7 (499) 237-10-94;1 адресов;http://maps.yandex.ru/?text=095+-+%D0%9C%D0%9E%D0%A1%D0%9A%D0%9E%D0%92%D0%A1%D0%9A%D0%90%D0%AF+%D0%9A%D0%9E%D0%A4%D0%95%D0%99%D0%9D%D0%AF&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
1-2-3 КАФЕ;Москва, ул. Черкизовская Б., 6, стр. 1;+7 (499) 161-30-23, +7 (499) 161-93-66, +7 (499) 161-15-68;5 адресов;http://maps.yandex.ru/?text=1-2-3+%D0%9A%D0%90%D0%A4%D0%95&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
1812 ГОДЪ
19.05 КАФЕ
1-я БИБЛИОТЕКА БАНКЕТНЫЙ КОМПЛЕКС
21 PRIME
33 ЗУБА;Москва, Колокольников пер., 22, стр. 5;+7 (495) 628-91-36, +7 (495) 628-81-63;2 адресов;http://maps.yandex.ru/?text=33+%D0%97%D0%A3%D0%91%D0%90&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
35 ММ КАФЕ
4 ПАПАС
44 СТУЛА
7 КРОН;Москва, ш. Энтузиастов, 36а;+7 (495) 641-33-32;1 адресов;http://maps.yandex.ru/?text=7+%D0%9A%D0%A0%D0%9E%D0%9D&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
8 МАРТА;Москва, Варшавское ш., 36, стр. 2;+7 (495) 775-91-50, +7 (495) 781-02-79;97 адресов;http://maps.yandex.ru/?text=8+%D0%9C%D0%90%D0%A0%D0%A2%D0%90&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ACCENTI;Москва, Кропоткинский пер., 7, стр. 2-4;+7 (499) 246-71-82, +7 (499) 246-15-15;1 адресов;http://maps.yandex.ru/?text=ACCENTI&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
APROPO`S
ART BAR;Москва, Берсеневская наб., 10;+7 (495) 641-67-15;1 адресов;http://maps.yandex.ru/?text=ART+BAR&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ARTEFAQ
ARTS PALACE;Москва, Успенский пер., 3, стр. 4;+7 (495) 933-13-40, +7 (495) 775-00-78, +7 (495) 933-13-56;1 адресов;http://maps.yandex.ru/?text=ARTS+PALACE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ARUBA;Москва, ул. Народная, 4;+7 (495) 912-18-36;1 адресов;http://maps.yandex.ru/?text=ARUBA&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ASSAGGIATORE;Москва, Мичуринский просп., 3;+7 (495) 665-10-56;1 адресов;http://maps.yandex.ru/?text=ASSAGGIATORE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
B.B.KING МОСКОВСКИЙ ДОМ БЛЮЗА
BACCARAT CRISTAL ROOM;Москва, ул. Никольская, 19-21;+7 (495) 933-33-89, +7 (495) 788-06-00;1 адресов;http://maps.yandex.ru/?text=BACCARAT+CRISTAL+ROOM&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BANDEROL
